state,month,year,lockdown_period,avg_congestion
AR,3,2020,after_lockdown,0.986328125
AR,4,2021,after_lockdown,1.0353909465020577
AZ,2,2019,before_lockdown,1.2459114479457518
CA,3,2021,after_lockdown,0.63074721037565
CA,5,2020,after_lockdown,0.6233047210300429
CA,11,2018,before_lockdown,1.168165699927201
CO,2,2018,before_lockdown,1.4206223926034502
CO,4,2021,after_lockdown,1.0552712384851586
CO,10,2021,after_lockdown,1.284409762576789
DC,3,2020,after_lockdown,0.8512518409425626
FL,11,2018,before_lockdown,1.1270269783848965
IA,5,2018,before_lockdown,1.659744408945687
ID,2,2021,after_lockdown,1.267453798767967
ID,5,2019,before_lockdown,1.2770092226613965
ID,12,2021,after_lockdown,1.063199105145414
IN,1,2018,before_lockdown,1.4025024231209797
IN,3,2018,before_lockdown,1.550850030358227
IN,7,2021,after_lockdown,1.4373506316148856
KS,7,2019,before_lockdown,0.835278276481149
KY,7,2021,after_lockdown,1.1943527686101945
KY,11,2020,after_lockdown,0.8085225679843006
KY,12,2018,before_lockdown,1.2962239583333333
LA,1,2018,before_lockdown,1.3520266518600776
LA,4,2018,before_lockdown,1.3406801007556675
LA,6,2018,before_lockdown,1.3413921791335388
LA,10,2021,after_lockdown,1.069243156199678
MA,1,2021,after_lockdown,0.39803114898618863
MA,5,2018,before_lockdown,1.1740584482403786
MA,5,2021,after_lockdown,1.1596019643318687
MD,6,2018,before_lockdown,1.2811853433891744
ME,2,2021,after_lockdown,1.280612244897959
MN,7,2019,before_lockdown,0.9050098508302843
MN,9,2018,before_lockdown,1.3839190628328009
MN,11,2019,before_lockdown,0.8397947548460661
MN,12,2020,after_lockdown,0.7961650016113438
MS,3,2020,after_lockdown,0.9628886659979939
MS,3,2021,after_lockdown,0.8695121951219512
MT,3,2021,after_lockdown,1.4062780269058297
MT,5,2021,after_lockdown,1.4680215182307232
MT,8,2019,before_lockdown,1.3441358024691359
NC,2,2019,before_lockdown,1.1848866498740553
NC,8,2021,after_lockdown,1.2851221952265257
ND,1,2020,after_lockdown,0.8888888888888888
ND,2,2019,before_lockdown,1.4953560371517027
ND,3,2021,after_lockdown,1.2036082474226804
ND,5,2018,before_lockdown,1.513416815742397
NJ,8,2021,after_lockdown,1.2457478005865104
NM,12,2019,before_lockdown,1.1102213848327838
OH,1,2019,before_lockdown,1.2456352636127916
OH,2,2018,before_lockdown,1.3830506428442084
OK,1,2021,after_lockdown,1.1241379310344828
OK,5,2021,after_lockdown,1.1448019801980198
OK,6,2018,before_lockdown,1.6163322773671243
OK,12,2019,before_lockdown,0.832409972299169
OR,2,2019,before_lockdown,1.5624137424754074
OR,8,2018,before_lockdown,1.4532058492688413
PA,8,2020,after_lockdown,1.0923954959123863
RI,4,2018,before_lockdown,1.5475382003395586
RI,5,2021,after_lockdown,1.1216783216783217
SC,6,2021,after_lockdown,1.1295224312590448
SC,9,2019,before_lockdown,0.9026770077558168
SD,9,2018,before_lockdown,1.8110014104372356
TX,2,2021,after_lockdown,0.830021806790486
TX,4,2021,after_lockdown,1.1314120654736213
UT,4,2019,before_lockdown,1.4888557461264396
UT,10,2019,before_lockdown,0.9458311205523101
UT,12,2019,before_lockdown,0.9888973000252335
VA,7,2021,after_lockdown,1.3422562141491396
VA,12,2020,after_lockdown,0.9882190750720642
VT,11,2019,before_lockdown,1.1997146932952925
WA,3,2019,before_lockdown,1.2468910516355771
WA,9,2020,after_lockdown,0.9587916598259727
WI,9,2019,before_lockdown,0.8763698630136987
WV,2,2018,before_lockdown,1.6463527239150508
WV,5,2019,before_lockdown,1.555779183438758
WY,1,2020,after_lockdown,1.2269257460097154
AL,1,2020,after_lockdown,0.9973530968766543
AL,2,2021,after_lockdown,0.9743346007604563
AL,8,2020,after_lockdown,1.0880853036624942
CA,7,2018,before_lockdown,1.2046837360617875
CA,10,2020,after_lockdown,0.5627212978176853
CA,11,2021,after_lockdown,1.158372675294909
CO,2,2021,after_lockdown,1.0559736594543745
CO,9,2018,before_lockdown,1.3940383488235786
CT,7,2019,before_lockdown,1.3165568484508623
CT,10,2018,before_lockdown,1.5107341240054046
DC,7,2021,after_lockdown,1.1898907103825136
DE,8,2020,after_lockdown,0.9886649874055415
DE,12,2019,before_lockdown,0.7950413223140496
FL,5,2018,before_lockdown,1.1482280886232406
FL,5,2020,after_lockdown,0.6314557425018288
FL,8,2019,before_lockdown,0.6125934877037134
IA,3,2020,after_lockdown,0.9574022346368715
IA,5,2020,after_lockdown,0.9288577154308617
ID,1,2019,before_lockdown,1.5083752093802345
ID,8,2019,before_lockdown,1.1424925563589963
IL,5,2019,before_lockdown,0.9368112543962486
IL,10,2020,after_lockdown,0.4284663172873356
IL,12,2020,after_lockdown,0.3981734466707144
KS,2,2019,before_lockdown,1.406047516198704
KY,4,2018,before_lockdown,1.5878480060195637
MD,9,2020,after_lockdown,1.001109631602308
MD,11,2019,before_lockdown,0.9362010633156114
ME,9,2018,before_lockdown,1.4117443868739206
ME,10,2020,after_lockdown,0.9234449760765551
MI,3,2020,after_lockdown,1.0519618239660657
MO,5,2020,after_lockdown,0.8224789915966386
MS,11,2021,after_lockdown,1.1145539906103286
NC,5,2021,after_lockdown,1.2234505255527366
NC,8,2020,after_lockdown,1.0413720869337524
ND,5,2021,after_lockdown,0.7560355781448539
NE,6,2019,before_lockdown,1.1264838313548915
NH,7,2020,after_lockdown,1.0783132530120483
NJ,5,2019,before_lockdown,0.9908721331594692
NM,5,2020,after_lockdown,1.0049792531120332
NM,5,2021,after_lockdown,1.0072463768115942
NV,2,2020,after_lockdown,1.3569868995633187
NV,3,2020,after_lockdown,1.2969924812030076
NV,10,2021,after_lockdown,1.1690340909090908
NV,11,2018,before_lockdown,1.681081081081081
NV,12,2020,after_lockdown,0.92152466367713
NY,1,2020,after_lockdown,0.763851623289509
NY,3,2021,after_lockdown,0.46531617215693943
NY,6,2021,after_lockdown,1.0266259844573098
OH,10,2019,before_lockdown,0.9088722093918399
OK,5,2019,before_lockdown,1.1067331670822942
OR,9,2021,after_lockdown,1.35613810741688
SC,1,2018,before_lockdown,1.2881237270875763
SD,7,2020,after_lockdown,1.0005998800239952
SD,12,2019,before_lockdown,1.011764705882353
TN,3,2018,before_lockdown,1.3989093276900537
TN,10,2021,after_lockdown,1.1682653876898481
TX,8,2021,after_lockdown,1.1682333229205124
TX,12,2019,before_lockdown,0.7868959059460022
UT,9,2018,before_lockdown,1.391264992079656
VA,5,2020,after_lockdown,1.0170987313844457
VT,4,2019,before_lockdown,1.5
WA,3,2018,before_lockdown,1.3103473762010347
WI,4,2020,after_lockdown,0.9580703336339044
AL,7,2018,before_lockdown,1.4196132280581302
AL,11,2019,before_lockdown,0.8902356902356903
AR,2,2021,after_lockdown,1.143653914908831
AR,12,2017,before_lockdown,2.0
AZ,7,2020,after_lockdown,0.6770786851108136
AZ,9,2021,after_lockdown,1.2111974496911735
AZ,11,2019,before_lockdown,0.8592418709789602
AZ,12,2020,after_lockdown,0.8144233758159776
CA,12,2021,after_lockdown,1.1045421334632246
CT,1,2021,after_lockdown,0.6192893401015228
CT,2,2020,after_lockdown,1.2261682242990655
CT,3,2020,after_lockdown,1.2228870605833957
DC,2,2020,after_lockdown,0.8549618320610687
DC,3,2021,after_lockdown,0.3321538098608162
DC,6,2021,after_lockdown,1.1416058394160584
DC,7,2020,after_lockdown,1.1156462585034013
DE,3,2018,before_lockdown,1.3070739549839228
DE,4,2021,after_lockdown,1.3634751773049645
DE,11,2020,after_lockdown,0.7166042446941323
FL,3,2019,before_lockdown,1.03536507640411
FL,4,2021,after_lockdown,0.8253484788762676
FL,9,2018,before_lockdown,1.144077377213918
FL,10,2021,after_lockdown,0.8670058139534884
FL,12,2019,before_lockdown,0.5865403210210791
GA,2,2018,before_lockdown,1.2098252344416027
GA,4,2021,after_lockdown,1.1616438356164382
GA,5,2020,after_lockdown,0.9941089837997055
GA,8,2021,after_lockdown,1.1445994303658804
IA,1,2020,after_lockdown,0.8361921867983835
ID,9,2021,after_lockdown,1.09689557855127
IL,6,2021,after_lockdown,1.326623903266239
IN,7,2020,after_lockdown,1.0541716093317517
IN,8,2018,before_lockdown,1.5852547680045546
IN,12,2018,before_lockdown,1.363729859444635
KY,12,2019,before_lockdown,0.8790912591451675
LA,5,2018,before_lockdown,1.3404358353510897
MA,1,2019,before_lockdown,1.2658985654580368
MA,6,2019,before_lockdown,0.9164662700923933
MA,8,2020,after_lockdown,0.9375747428844774
MA,9,2019,before_lockdown,0.7872038220672736
MD,5,2021,after_lockdown,1.3389252591380252
ME,12,2018,before_lockdown,1.2910958904109588
ME,12,2020,after_lockdown,1.2667876588021778
MI,1,2021,after_lockdown,0.8177570093457944
MI,8,2020,after_lockdown,0.9722636444974649
MO,3,2020,after_lockdown,0.9787798408488063
MO,3,2021,after_lockdown,0.8562895291637386
MO,5,2021,after_lockdown,1.1867588932806323
MS,3,2019,before_lockdown,1.5010161012974832
MS,7,2020,after_lockdown,0.9038031319910514
ND,11,2019,before_lockdown,0.9901639344262295
NE,6,2020,after_lockdown,0.9593869731800766
NE,9,2018,before_lockdown,1.6011758941695247
NJ,4,2018,before_lockdown,1.3900049398979089
NJ,4,2020,after_lockdown,1.1686363636363637
NJ,8,2019,before_lockdown,0.9437647563854904
NM,10,2019,before_lockdown,1.1203518592562975
NV,4,2020,after_lockdown,1.2998296422487223
OH,9,2021,after_lockdown,1.2920918367346939
OR,8,2021,after_lockdown,1.4230171073094868
OR,12,2021,after_lockdown,1.1384321953080299
PA,1,2021,after_lockdown,0.45270962892093214
PA,5,2021,after_lockdown,1.3225919439579685
RI,1,2019,before_lockdown,1.3831258644536653
RI,3,2019,before_lockdown,1.1884753901560625
RI,4,2020,after_lockdown,1.1288343558282208
SC,5,2021,after_lockdown,1.0316580925999208
SD,10,2019,before_lockdown,1.1441753171856979
SD,11,2018,before_lockdown,1.6774193548387097
TN,10,2018,before_lockdown,1.4289571120024684
UT,7,2020,after_lockdown,0.8703038222803006
UT,11,2020,after_lockdown,1.133418043202033
